doc_id,title,source,grade_level,subject,topic,subtopic,content_type,language,date_published,date_scraped,file_path,url_source,description,keywords,curriculum_alignment,learning_outcomes,difficulty_level,estimated_time_minutes,prerequisites,related_docs,status,quality_score,metadata_version
NEP_2020_001,"National Education Policy 2020 - Complete Document",Ministry of Education (MoE),All,Policy,Education Reform,NEP 2020,PDF,English,2020-07-29,2026-06-03,knowledge/frameworks/nep_2020/nep_2020_full_document.pdf,https://www.education.gov.in/nep,"Complete NEP 2020 policy document outlining transformative reforms for Indian education system","nep 2020, education policy, education reform, india education","National Level Framework","Understanding education policy direction",Advanced,180,,"Related frameworks and circulars",verified,0.95,1.0
NCERT_MATH_10_001,"NCERT Mathematics Textbook - Class 10",NCERT,10,Mathematics,Complete Curriculum,Full Textbook,PDF,English,2023-04-01,2026-06-03,knowledge/curriculum/ncert/class_10/mathematics/ncert_math_10_textbook.pdf,https://ncert.nic.in/textbook.php,"Complete NCERT Mathematics textbook for Class 10 covering algebra, geometry, trigonometry, and statistics","ncert, mathematics, class 10, algebra, geometry, trigonometry",CBSE Class 10,"Mastery of core mathematical concepts for secondary education",Intermediate,N/A,"Class 9 Mathematics","NCERT Exemplar Class 10 Math",verified,0.98,1.0
CBSE_SCI_10_001,"CBSE Class 10 Science Sample Paper 2024",CBSE,10,Science,Assessment,Sample Paper,PDF,English,2024-01-15,2026-06-03,knowledge/assessments/sample_papers/cbse/class_10/science_sample_paper_2024.pdf,https://cbseacademic.nic.in/,"Official CBSE sample paper for Class 10 Science board examination 2024","cbse, sample paper, class 10, science, board exam",CBSE Class 10 Science Syllabus,"Practice and assessment readiness for board examinations",Intermediate,180,"Class 10 Science syllabus completion","Previous year papers",verified,0.96,1.0
DIKSHA_AI_07_001,"Introduction to Artificial Intelligence - Grade 7 Lesson",DIKSHA,7,Computer Science,Artificial Intelligence,Introduction to AI,HTML/Interactive,English,2025-09-10,2026-06-03,knowledge/lessons/ai/grade_07/introduction_to_ai.html,https://diksha.gov.in/,"Interactive lesson introducing AI concepts, applications, and basic principles for middle school students","ai, artificial intelligence, grade 7, introduction, diksha",NEP 2020 Computational Thinking Framework,"Understanding AI fundamentals and real-world applications",Beginner,45,"Basic computer literacy","AI Ethics lesson, Machine Learning basics",verified,0.92,1.0
MOE_CIRCULAR_001,"Guidelines for AI Integration in Schools 2025",Ministry of Education (MoE),All,Policy,AI Education,Implementation Guidelines,PDF,English,2025-03-20,2026-06-03,knowledge/policy/moe/ai_integration_guidelines_2025.pdf,https://www.education.gov.in/,"Official guidelines for implementing AI and computational thinking in K-12 curriculum","ai integration, schools, guidelines, moe, computational thinking",NEP 2020,"Framework for AI education implementation",Advanced,60,,"NEP 2020, NCF 2023",verified,0.94,1.0
NCF_2023_001,"National Curriculum Framework for School Education 2023",NCERT,All,Curriculum Framework,Curriculum Design,Complete Framework,PDF,English,2023-08-01,2026-06-03,knowledge/frameworks/ncf_2023/ncf_2023_full_document.pdf,https://ncert.nic.in/,"Complete NCF 2023 document providing detailed curriculum framework aligned with NEP 2020","ncf 2023, curriculum framework, nep 2020, school education",NEP 2020 Aligned,"Comprehensive curriculum understanding",Advanced,240,,"NEP 2020",verified,0.97,1.0
DOE_DELHI_001,"Delhi Education Department - Annual Circular 2025-26",DoE Delhi,All,Policy,School Administration,Annual Circulars,PDF,English,2025-04-01,2026-06-03,knowledge/policy/state/delhi/annual_circular_2025_26.pdf,https://edudel.nic.in/,"Annual administrative and academic circular for Delhi government schools","delhi education, circular, school administration, doe",Delhi State Board,"Administrative compliance and academic planning",Intermediate,30,,"",verified,0.90,1.0
NCERT_EXEMPLAR_10_001,"NCERT Exemplar Problems - Class 10 Mathematics",NCERT,10,Mathematics,Problem Solving,Exemplar Questions,PDF,English,2023-06-01,2026-06-03,knowledge/assessments/question_banks/ncert_exemplar/class_10/math_exemplar_problems.pdf,https://ncert.nic.in/,"Curated set of challenging problems for advanced practice in Class 10 Mathematics","ncert exemplar, mathematics, class 10, problem solving",CBSE Class 10 Advanced,"Advanced problem-solving skills in mathematics",Advanced,N/A,"NCERT Class 10 Mathematics completion","Previous year board papers",verified,0.97,1.0
NCTE_TEACHER_001,"AI Literacy for Teachers - Professional Development Module",NCTE,Teacher Education,Teacher Training,AI Literacy,Training Module,PDF,English,2025-05-15,2026-06-03,knowledge/resources/teacher_guides/ai_literacy_for_teachers.pdf,https://ncte.gov.in/,"Comprehensive training module for teachers on AI literacy and integration in classroom teaching","teacher training, ai literacy, professional development, ncte",Teacher Education Framework,"Teacher competency in AI-integrated pedagogy",Intermediate,120,"Basic digital literacy","Classroom AI tools guide",verified,0.93,1.0
SAMAGRA_SHIKSHA_001,"Samagra Shiksha 2.0 - Implementation Guidelines 2025",Samagra Shiksha,All,Policy,Program Implementation,Guidelines,PDF,English,2025-02-10,2026-06-03,knowledge/policy/moe/samagra_shiksha_2025_guidelines.pdf,https://samagra.education.gov.in/,"Operational guidelines for implementing Samagra Shiksha 2.0 scheme in schools","samagra shiksha, implementation, guidelines, school scheme",National Education Policy,"Program implementation framework",Intermediate,90,,"",verified,0.91,1.0
